#Classification	210222Fox_D21-2140_bracken_species.kreport2	210222Fox_D21-2142_bracken_species.kreport2	210222Fox_D21-2143_bracken_species.kreport2	210222Fox_D21-2144_bracken_species.kreport2	210222Fox_D21-2145_bracken_species.kreport2	210222Fox_D21-2146_bracken_species.kreport2	210222Fox_D21-2147_bracken_species.kreport2	210713Fox_D21-6682_bracken_species.kreport2	210713Fox_D21-6683_bracken_species.kreport2	210713Fox_D21-6684_bracken_species.kreport2	210713Fox_D21-6685_bracken_species.kreport2	210713Fox_D21-6686_bracken_species.kreport2	210713Fox_D21-6687_bracken_species.kreport2	210713Fox_D21-6688_bracken_species.kreport2	210713Fox_D21-6689_bracken_species.kreport2	210713Fox_D21-6690_bracken_species.kreport2	210713Fox_D21-6691_bracken_species.kreport2	210713Fox_D21-6692_bracken_species.kreport2	210713Fox_D21-6693_bracken_species.kreport2
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium_reichenowi	0	26	0	18	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium_falciparum	19	35	26	38	22	0	28	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium_yoelii	24	75	69	64	46	28	43	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium_coatneyi	95	147	158	109	85	72	71	37	31	41	97	91	100	41	52	117	90	27	29
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium_vivax	29	68	72	58	27	37	29	20	19	28	32	45	34	21	19	61	32	25	29
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium_cynomolgi	150	539	54	218	42	52	167	0	0	16	38	29	23	14	33	23	21	11	16
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eugregarinorida|f__Gregarinidae|g__Gregarina|s__Gregarina_niphandrodes	0	21	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Cryptosporidiidae|g__Cryptosporidium|s__Cryptosporidium_meleagridis	0	34	40	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Cryptosporidiidae|g__Cryptosporidium|s__Cryptosporidium_baileyi	39	23	26	46	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Cryptosporidiidae|g__Cryptosporidium|s__Cryptosporidium_muris	15	15	24	36	16	28	0	0	0	0	0	0	0	0	0	0	0	0	0
