Representative_ASV	Beta	SE	P	FDR_BH	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
s__Methanosarcina_barkeri	-0.913529959026419	0.774516595529499	0.253560591478362	0.903086570944145	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	NA	NA
s__Halosimplex_litoreum	-1.12596373675308	0.679077382239187	0.114626092379003	0.903086570944145	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halosimplex	NA	NA
s__Natrialba_magadii	0.825455597882113	0.647867590371784	0.218829217907223	0.903086570944145	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	NA	NA
s__Halovivax_sp._KZCA124	1.22816989395374	0.651288147626913	0.0755724622825462	0.903086570944145	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halovivax	NA	NA
s__Natronorubrum_aibiense	0.218268456821835	0.252457410072982	0.398647699028295	0.953287975937227	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	NA	NA
s__Halobiforma_lacisalsi	-0.280417929528372	0.618577402460317	0.655730583356745	0.994198982921108	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halobiforma	NA	NA
s__Halopenitus_persicus	-0.0476554110396969	0.62929682206662	0.940470802194543	0.994198982921108	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halopenitus	NA	NA
s__Haloquadratum_walsbyi	0.112943091368274	0.512970382936781	0.828212948084246	0.994198982921108	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	NA	NA
s__Haloferax_mediterranei	-0.754976085380772	0.662214704466907	0.269197775352869	0.903086570944145	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	NA	NA
s__Methanothermus_fervidus	-0.195765096527398	0.2068263382728	0.356418195149349	0.903086570944145	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	NA	NA
s__Methanosphaera_stadtmanae	-0.346664526918278	0.250983030945628	0.184116776407035	0.903086570944145	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	NA	NA
s__Methanobrevibacter_smithii	0.068246096954345	0.458108896105279	0.88323087827093	0.994198982921108	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA	NA
s__Methanobacterium_sp._MethCAN	0.27468169487387	0.345878654600655	0.437449931278903	0.962389848813587	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA	NA
s__Methanofervidicoccus_sp._A16	-0.293442865717154	0.364956894594784	0.431860662540479	0.962389848813587	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanofervidicoccus	Methanofervidicoccus_sp._A16	NA	NA
s__Methanotorris_igneus	-0.11803761705535	0.203470974658753	0.569025144785294	0.994198982921108	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	NA	NA
s__Methanocaldococcus_sp._FS406-22	0.0036556774173702	0.495873448314955	0.994198982921108	0.994198982921108	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	NA	NA
s__Methanothermococcus_okinawensis	0.0318221223599733	0.398570908271554	0.937245039002896	0.994198982921108	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	NA	NA
s__Methanococcus_aeolicus	1.32069067497923	0.86873248832259	0.145819540192415	0.903086570944145	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	NA	NA
s__Halobacterium_sp._DL1	-0.409757946697722	0.374094369164423	0.287810812485293	0.903086570944145	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA
